rank,county,FIPS_Code,distress_score,urgency,predicted_claims,poverty_rate,unemployment_rate,rurality_rucc,claim_growth_pct
30,Grant,54023,30.136314724088205,WATCH,0.028532031194947006,0.1538461538461538,0.21599999999999997,0.75,0.3126096402993481
31,Hardy,54031,29.553140126306786,WATCH,0.007058969706821018,0.36923076923076925,0.15999999999999998,0.625,0.28373702422145325
32,Harrison,54033,29.388029795265822,WATCH,0.2503771963420681,0.23076923076923073,0.21599999999999997,0.5,0.09786665940113884
33,Greenbrier,54025,28.405438954672213,WATCH,0.03346500212585031,0.47307692307692306,0.13599999999999995,0.625,0.202650649605014
34,Monroe,54063,28.374286003632783,WATCH,0.007322146430320711,0.21153846153846145,0.6399999999999999,0.875,0.06668763762189367
35,Wayne,54099,27.60267749048788,WATCH,0.0013750067812743263,0.34615384615384615,0.192,0.125,0.4747404844290657
36,Fayette,54019,27.560116499804877,WATCH,0.03872996157043661,0.5307692307692308,0.39199999999999996,0.25,0.16893529291199977
37,Tucker,54093,25.903877799704077,WATCH,0.0016097627940788862,0.08076923076923082,0.32,0.875,0.28373702422145325
38,Doddridge,54017,23.617426308400166,WATCH,0.0,0.25769230769230766,0.13599999999999995,1.0,0.10182896688086998
39,Wood,54107,22.876450849635273,WATCH,0.11196415967366632,0.2730769230769231,0.21599999999999997,0.25,0.2387767941401159
40,Pleasants,54073,22.49380320479643,WATCH,0.007588031187762457,0.0,0.36800000000000005,0.625,0.28373702422145325
41,Wetzel,54103,22.48776437908376,WATCH,0.007840115597548682,0.35769230769230764,0.27999999999999997,0.625,0.11009751494180556
42,Berkeley,54003,21.685757983971442,WATCH,0.21290584321653586,0.12307692307692308,0.15999999999999998,0.125,0.249946204778005
43,Hampshire,54027,21.497670488302393,WATCH,0.0284580926256439,0.3769230769230769,0.47200000000000003,0.25,0.13123426149024436
44,Mason,54053,20.211855751342725,WATCH,0.03524893640584162,0.3307692307692308,0.023999999999999966,0.625,0.16031940377961135
45,Ohio,54069,18.71281181400178,WATCH,0.0985232520341929,0.26923076923076916,0.21599999999999997,0.25,0.24038345024436872
46,Mercer,54055,18.249567258263653,WATCH,0.06394241110884226,0.42692307692307696,0.128,0.375,0.11080145889834467
47,Marion,54049,17.654815819741547,WATCH,0.028375953538614624,0.27692307692307694,0.304,0.375,0.19131599508873753
48,Morgan,54065,14.538446659623311,WATCH,0.02303403382170791,0.11153846153846153,0.19999999999999996,0.875,0.054115378070225206
49,Jackson,54035,14.302666896727533,WATCH,0.015745649755435243,0.45769230769230773,0.08000000000000002,0.625,0.0
50,Marshall,54051,14.233701958962417,WATCH,0.08495009394377888,0.26923076923076916,0.10399999999999998,0.25,0.15729612415798197
51,Preston,54077,8.203599397562499,WATCH,0.023344213965300183,0.23461538461538467,0.36800000000000005,0.25,0.045933911413170825
52,Mineral,54057,5.830888301325183,WATCH,0.013312118464917783,0.2384615384615385,0.25599999999999995,0.25,0.08711581518420516
53,Brooke,54009,5.150921966359436,WATCH,0.0043927550483296475,0.12692307692307692,0.248,0.25,0.15201049994034124
54,Putnam,54079,0.6354609400938788,WATCH,0.08357861921456831,0.12307692307692308,0.09599999999999997,0.125,0.11128519968380043
55,Jefferson,54037,0.0,WATCH,0.030568452341797895,0.05384615384615382,0.184,0.0,0.24361024686691282
